"citing_paper_id","cited_paper_id"
"https://openalex.org/W2916674581","https://openalex.org/W3020242989"
"https://openalex.org/W2916674581","https://openalex.org/W3080227844"
"https://openalex.org/W2916674581","https://openalex.org/W3117348482"
"https://openalex.org/W2916674581","https://openalex.org/W3211968317"
"https://openalex.org/W2956765615","https://openalex.org/W2775013068"
"https://openalex.org/W2956765615","https://openalex.org/W2784819569"
"https://openalex.org/W2956765615","https://openalex.org/W2796272810"
"https://openalex.org/W2956765615","https://openalex.org/W2803435903"
"https://openalex.org/W2956765615","https://openalex.org/W2804406438"
"https://openalex.org/W2956765615","https://openalex.org/W2804836376"
"https://openalex.org/W2956765615","https://openalex.org/W2881275554"
"https://openalex.org/W2954540103","https://openalex.org/W2781956999"
"https://openalex.org/W2954540103","https://openalex.org/W2883210144"
"https://openalex.org/W2954540103","https://openalex.org/W2888782805"
"https://openalex.org/W2954540103","https://openalex.org/W2904912335"
"https://openalex.org/W4210804024","https://openalex.org/W2772360471"
"https://openalex.org/W4210804024","https://openalex.org/W3014041154"
"https://openalex.org/W4210804024","https://openalex.org/W3091658583"
"https://openalex.org/W4210804024","https://openalex.org/W3116353595"
"https://openalex.org/W3036750041","https://openalex.org/W2808870814"
"https://openalex.org/W3036750041","https://openalex.org/W2886381939"
"https://openalex.org/W3036750041","https://openalex.org/W2898587305"
"https://openalex.org/W3036750041","https://openalex.org/W2909245150"
"https://openalex.org/W3036750041","https://openalex.org/W2923143199"
"https://openalex.org/W3036750041","https://openalex.org/W3027674571"
"https://openalex.org/W4235849303","https://openalex.org/W2795026765"
"https://openalex.org/W4235849303","https://openalex.org/W2920925854"
"https://openalex.org/W3000778149","https://openalex.org/W2775013068"
"https://openalex.org/W3000778149","https://openalex.org/W2895974873"
"https://openalex.org/W3000778149","https://openalex.org/W2933119531"
"https://openalex.org/W3000778149","https://openalex.org/W2946758274"
"https://openalex.org/W3000778149","https://openalex.org/W2982338710"
"https://openalex.org/W3000778149","https://openalex.org/W2990482070"
"https://openalex.org/W3000778149","https://openalex.org/W2998500935"
"https://openalex.org/W3000778149","https://openalex.org/W3001229109"
"https://openalex.org/W3000778149","https://openalex.org/W3003285520"
"https://openalex.org/W3000778149","https://openalex.org/W3009848554"
"https://openalex.org/W3000778149","https://openalex.org/W3012045934"
"https://openalex.org/W2964422804","https://openalex.org/W2921612036"
"https://openalex.org/W3004018274","https://openalex.org/W2797335956"
"https://openalex.org/W3004018274","https://openalex.org/W2805236186"
"https://openalex.org/W2788281977","https://openalex.org/W2104155220"
"https://openalex.org/W2788281977","https://openalex.org/W2752826350"
"https://openalex.org/W4281397013","https://openalex.org/W2904294860"
"https://openalex.org/W4281397013","https://openalex.org/W2979610175"
"https://openalex.org/W4281397013","https://openalex.org/W3033413047"
"https://openalex.org/W4281397013","https://openalex.org/W3043437003"
"https://openalex.org/W4281397013","https://openalex.org/W3120874735"
"https://openalex.org/W3002782576","https://openalex.org/W2735264555"
"https://openalex.org/W3002782576","https://openalex.org/W3002630673"
"https://openalex.org/W3002782576","https://openalex.org/W3043823404"
"https://openalex.org/W3011850984","https://openalex.org/W2971577983"
"https://openalex.org/W3083704968","https://openalex.org/W3048177960"
"https://openalex.org/W3083704968","https://openalex.org/W3083704968"
"https://openalex.org/W4388627415","https://openalex.org/W3093432062"
"https://openalex.org/W4388627415","https://openalex.org/W4210969001"
"https://openalex.org/W4388627415","https://openalex.org/W4223428354"
"https://openalex.org/W3036122989","https://openalex.org/W2948930564"
"https://openalex.org/W3036122989","https://openalex.org/W2990874078"
"https://openalex.org/W3036122989","https://openalex.org/W3044996171"
"https://openalex.org/W2949662106","https://openalex.org/W2803435903"
"https://openalex.org/W2949662106","https://openalex.org/W2804406438"
"https://openalex.org/W2997088339","https://openalex.org/W2884752912"
"https://openalex.org/W2944938813","https://openalex.org/W2944938813"
"https://openalex.org/W3024319951","https://openalex.org/W2888782805"
"https://openalex.org/W3024319951","https://openalex.org/W2904912335"
"https://openalex.org/W3024319951","https://openalex.org/W3024319951"
"https://openalex.org/W2782905495","https://openalex.org/W4403516938"
"https://openalex.org/W3028181898","https://openalex.org/W2781561787"
"https://openalex.org/W3028181898","https://openalex.org/W2789006363"
"https://openalex.org/W3028181898","https://openalex.org/W3009221443"
"https://openalex.org/W2883729084","https://openalex.org/W2791031334"
"https://openalex.org/W2883729084","https://openalex.org/W2881275554"
"https://openalex.org/W2883729084","https://openalex.org/W2896118406"
"https://openalex.org/W2899086334","https://openalex.org/W2658904191"
"https://openalex.org/W2899086334","https://openalex.org/W2790472587"
"https://openalex.org/W2899086334","https://openalex.org/W2899086334"
"https://openalex.org/W2804836376","https://openalex.org/W2803435903"
"https://openalex.org/W2804836376","https://openalex.org/W2804406438"
"https://openalex.org/W2891204558","https://openalex.org/W2792647196"
"https://openalex.org/W2905493219","https://openalex.org/W2810419645"
"https://openalex.org/W3121455070","https://openalex.org/W2904636124"
"https://openalex.org/W3121455070","https://openalex.org/W3042916948"
"https://openalex.org/W3121455070","https://openalex.org/W3098511379"
"https://openalex.org/W2810146108","https://openalex.org/W2783374681"
"https://openalex.org/W2810146108","https://openalex.org/W2808045691"
"https://openalex.org/W4312018175","https://openalex.org/W2775013068"
"https://openalex.org/W4312018175","https://openalex.org/W2796210746"
"https://openalex.org/W4312018175","https://openalex.org/W3095066576"
"https://openalex.org/W4312018175","https://openalex.org/W3122084874"
"https://openalex.org/W4312018175","https://openalex.org/W3165052556"
"https://openalex.org/W4312018175","https://openalex.org/W3198956083"
"https://openalex.org/W4312018175","https://openalex.org/W3211889280"
"https://openalex.org/W4312018175","https://openalex.org/W4252904947"
"https://openalex.org/W4312018175","https://openalex.org/W4292172171"
"https://openalex.org/W4312018175","https://openalex.org/W4304163584"
"https://openalex.org/W2963525085","https://openalex.org/W2885526262"
"https://openalex.org/W3163629062","https://openalex.org/W2794245781"
"https://openalex.org/W3098511379","https://openalex.org/W3028965239"
"https://openalex.org/W4400362563","https://openalex.org/W3043533693"
"https://openalex.org/W3047922702","https://openalex.org/W2766928566"
"https://openalex.org/W3047922702","https://openalex.org/W2983045730"
"https://openalex.org/W3047922702","https://openalex.org/W3010724792"
"https://openalex.org/W2979744446","https://openalex.org/W2104155220"
"https://openalex.org/W2979744446","https://openalex.org/W2783423097"
"https://openalex.org/W2979744446","https://openalex.org/W2787362345"
"https://openalex.org/W2979744446","https://openalex.org/W2803312878"
"https://openalex.org/W2979744446","https://openalex.org/W2895855825"
"https://openalex.org/W2979744446","https://openalex.org/W2924028347"
"https://openalex.org/W2979744446","https://openalex.org/W2982338710"
"https://openalex.org/W2979744446","https://openalex.org/W3005468410"
"https://openalex.org/W2979744446","https://openalex.org/W3014073991"
"https://openalex.org/W3005468410","https://openalex.org/W2104155220"
"https://openalex.org/W3005468410","https://openalex.org/W2895855825"
"https://openalex.org/W3005468410","https://openalex.org/W2898185225"
"https://openalex.org/W3005468410","https://openalex.org/W2899086334"
"https://openalex.org/W3005468410","https://openalex.org/W2982338710"
"https://openalex.org/W3007387047","https://openalex.org/W2884453322"
"https://openalex.org/W3007387047","https://openalex.org/W2902654560"
"https://openalex.org/W3007387047","https://openalex.org/W2903064728"
"https://openalex.org/W3007387047","https://openalex.org/W2980016895"
"https://openalex.org/W3007387047","https://openalex.org/W3004030262"
"https://openalex.org/W2960639155","https://openalex.org/W2897416697"
"https://openalex.org/W4385697442","https://openalex.org/W3010287583"
"https://openalex.org/W4385697442","https://openalex.org/W3149989804"
"https://openalex.org/W4385697442","https://openalex.org/W3158869479"
"https://openalex.org/W4379532246","https://openalex.org/W2956765615"
"https://openalex.org/W4379532246","https://openalex.org/W3001229109"
"https://openalex.org/W4379532246","https://openalex.org/W3048177960"
"https://openalex.org/W4379532246","https://openalex.org/W3048190739"
"https://openalex.org/W4379532246","https://openalex.org/W3083704968"
"https://openalex.org/W4379532246","https://openalex.org/W3093432062"
"https://openalex.org/W4379532246","https://openalex.org/W3112636642"
"https://openalex.org/W4379532246","https://openalex.org/W3211889280"
"https://openalex.org/W4379532246","https://openalex.org/W4297194895"
"https://openalex.org/W4379532246","https://openalex.org/W4366208486"
"https://openalex.org/W3030289169","https://openalex.org/W2799569642"
"https://openalex.org/W3030289169","https://openalex.org/W2898734944"
"https://openalex.org/W3030289169","https://openalex.org/W2913702552"
"https://openalex.org/W3030289169","https://openalex.org/W2915043769"
"https://openalex.org/W3030289169","https://openalex.org/W3004018274"
"https://openalex.org/W3030289169","https://openalex.org/W3040778341"
"https://openalex.org/W3030289169","https://openalex.org/W3046464341"
"https://openalex.org/W3030289169","https://openalex.org/W3081287100"
"https://openalex.org/W3010936584","https://openalex.org/W2780744508"
"https://openalex.org/W4319011391","https://openalex.org/W3162622898"
"https://openalex.org/W2942357222","https://openalex.org/W2104155220"
"https://openalex.org/W4293382414","https://openalex.org/W2780744508"
"https://openalex.org/W4293382414","https://openalex.org/W3096146116"
"https://openalex.org/W3091658583","https://openalex.org/W2772360471"
"https://openalex.org/W3091658583","https://openalex.org/W2888782805"
"https://openalex.org/W3091658583","https://openalex.org/W2984744519"
"https://openalex.org/W2971524362","https://openalex.org/W2890232832"
"https://openalex.org/W3125372746","https://openalex.org/W2802214380"
"https://openalex.org/W3125372746","https://openalex.org/W3008297699"
"https://openalex.org/W3111864906","https://openalex.org/W2786958555"
"https://openalex.org/W3111864906","https://openalex.org/W2884935317"
"https://openalex.org/W3111864906","https://openalex.org/W2898507858"
"https://openalex.org/W3111864906","https://openalex.org/W2913853702"
